Year_Month,Recommended_Stocks_mean,Recommended_Stocks_min,Recommended_Stocks_max,Recommended_Stocks_count,Recommended_Stocks_std,Recent_Alpha_mean,Recent_Alpha_min,Recent_Alpha_max,Recent_Alpha_std,Alpha_Volatility_mean,Alpha_Volatility_min,Alpha_Volatility_max,Alpha_Volatility_std,Alpha_Trend_mean,Alpha_Trend_min,Alpha_Trend_max,Alpha_Trend_std,Volatility_Rank_mean,Volatility_Rank_min,Volatility_Rank_max,Volatility_Rank_std,Alpha_Z_Score_mean,Alpha_Z_Score_min,Alpha_Z_Score_max,Alpha_Z_Score_std,Strategy_<lambda>,Stability_Level_<lambda>,Alpha_Above_Threshold_sum,Volatility_Below_Threshold_sum,Is_High_Alpha_sum,Is_Low_Volatility_sum,Alpha_Trend_Positive_sum,Z_Score_Extreme_sum,Year,Month
2023-05,67.0,67,67,1,,0.019,0.019,0.019,,0.0019,0.0019,0.0019,,-0.0009,-0.0009,-0.0009,,0.7115,0.7115,0.7115,,1.4084,1.4084,1.4084,,Aggressive,High_Stability,1,1,1,0,0,0,2023,5
2023-06,71.0,71,71,1,,0.0181,0.0181,0.0181,,0.0011,0.0011,0.0011,,-0.0005,-0.0005,-0.0005,,0.8324,0.8324,0.8324,,1.2752,1.2752,1.2752,,Aggressive,High_Stability,1,1,1,1,0,0,2023,6
2023-07,72.0,72,72,1,,0.0178,0.0178,0.0178,,0.0009,0.0009,0.0009,,-0.0003,-0.0003,-0.0003,,0.8567,0.8567,0.8567,,1.233,1.233,1.233,,Aggressive,High_Stability,1,1,1,1,0,0,2023,7
2023-08,71.0,71,71,1,,0.0179,0.0179,0.0179,,0.0011,0.0011,0.0011,,0.0004,0.0004,0.0004,,0.8324,0.8324,0.8324,,1.2438,1.2438,1.2438,,Aggressive,High_Stability,1,1,1,1,1,0,2023,8
2023-09,71.0,71,71,1,,0.0179,0.0179,0.0179,,0.0011,0.0011,0.0011,,0.0003,0.0003,0.0003,,0.8328,0.8328,0.8328,,1.2454,1.2454,1.2454,,Aggressive,High_Stability,1,1,1,1,1,0,2023,9
2023-10,67.0,67,67,1,,0.0166,0.0166,0.0166,,0.0038,0.0038,0.0038,,-0.0012,-0.0012,-0.0012,,0.4157,0.4157,0.4157,,1.0429,1.0429,1.0429,,Aggressive,High_Stability,1,1,1,0,0,0,2023,10
2023-11,67.0,67,67,1,,0.0151,0.0151,0.0151,,0.0048,0.0048,0.0048,,-0.0019,-0.0019,-0.0019,,0.2683,0.2683,0.2683,,0.8123,0.8123,0.8123,,Aggressive,High_Stability,1,1,0,0,0,0,2023,11
2023-12,67.0,67,67,1,,0.0132,0.0132,0.0132,,0.0059,0.0059,0.0059,,-0.0029,-0.0029,-0.0029,,0.1014,0.1014,0.1014,,0.5304,0.5304,0.5304,,Aggressive,High_Stability,1,1,0,0,0,0,2023,12
2024-01,67.0,67,67,1,,0.0114,0.0114,0.0114,,0.0059,0.0059,0.0059,,-0.0029,-0.0029,-0.0029,,0.0966,0.0966,0.0966,,0.2566,0.2566,0.2566,,Aggressive,High_Stability,1,1,0,0,0,0,2024,1
2024-02,67.0,67,67,1,,0.0092,0.0092,0.0092,,0.0044,0.0044,0.0044,,-0.0018,-0.0018,-0.0018,,0.3347,0.3347,0.3347,,-0.0815,-0.0815,-0.0815,,Aggressive,High_Stability,0,1,0,0,0,0,2024,2
2024-03,68.0,68,68,1,,0.008,0.008,0.008,,0.0017,0.0017,0.0017,,0.0,0.0,0.0,,0.7423,0.7423,0.7423,,-0.2717,-0.2717,-0.2717,,Aggressive,High_Stability,0,1,0,1,1,0,2024,3
2024-04,68.0,68,68,1,,0.0078,0.0078,0.0078,,0.0016,0.0016,0.0016,,0.0002,0.0002,0.0002,,0.755,0.755,0.755,,-0.303,-0.303,-0.303,,Aggressive,High_Stability,0,1,0,1,1,0,2024,4
2024-05,67.0,67,67,1,,0.0063,0.0063,0.0063,,0.0033,0.0033,0.0033,,-0.0006,-0.0006,-0.0006,,0.5027,0.5027,0.5027,,-0.5213,-0.5213,-0.5213,,Aggressive,High_Stability,0,1,0,0,0,0,2024,5
2024-06,67.0,67,67,1,,0.0054,0.0054,0.0054,,0.0041,0.0041,0.0041,,-0.0016,-0.0016,-0.0016,,0.3679,0.3679,0.3679,,-0.6699,-0.6699,-0.6699,,Balanced,High_Stability,0,1,0,0,0,0,2024,6
2024-07,67.0,67,67,1,,0.0047,0.0047,0.0047,,0.0042,0.0042,0.0042,,-0.0016,-0.0016,-0.0016,,0.3609,0.3609,0.3609,,-0.7757,-0.7757,-0.7757,,Balanced,High_Stability,0,1,0,0,0,0,2024,7
2024-08,67.0,67,67,1,,0.0045,0.0045,0.0045,,0.0041,0.0041,0.0041,,-0.0011,-0.0011,-0.0011,,0.3721,0.3721,0.3721,,-0.7993,-0.7993,-0.7993,,Balanced,High_Stability,0,1,0,0,0,0,2024,8
